Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Dolphin Tale 2,Charles Martin Smith,"['Harry Connick Jr.', 'Ashley Judd', 'Nathan Gamble', 'Kris Kristofferson', 'Cozi Zuehlsdorff', 'Morgan Freeman']",Harry Connick Jr.,2014-09-12,9.0,107.0,United States,English,36000000.0,57800000.0,15873397.0,PG
This Is Where I Leave You,Shawn Levy,"['Jason Bateman', 'Tina Fey', 'Adam Driver', 'Rose Byrne', 'Corey Stoll', 'Kathryn Hahn', 'Jane Fonda']",Jason Bateman,2014-09-19,9.0,103.0,United States,English,19800000.0,41300000.0,11558149.0,R
Marshland,Alberto Rodríguez,"['Raúl Arévalo', 'Javier Gutiérrez', 'Nerea Barros', 'Antonio de la Torre']",Raúl Arévalo,2014-09-26,9.0,105.0,Spain,Spanish,,8900000.0,,
The Missionaries,Tonie Marshall,"['Sophie Marceau', 'Patrick Bruel']",Sophie Marceau,2014-08-22,8.0,111.0,France,French,10700000.0,8199999.999999999,,
Coming Soon,Cem Yılmaz,"['Cem Yılmaz', 'Tülin Özen']",Cem Yılmaz,2014-10-02,10.0,134.0,Turkey,Turkish,,,3742.0,R
Annabelle,John R. Leonetti,"['Annabelle Wallis', 'Ward Horton', 'Alfre Woodard']",Annabelle Wallis,2014-09-29,9.0,98.0,United States,English,6500000.0,257600000.00000003,37134255.0,R
The Good Lie,Philippe Falardeau,"['Reese Witherspoon', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal', 'Corey Stoll', 'Sarah Baker', 'Kuoth Wiel']",Reese Witherspoon,2014-09-07,9.0,110.0,,English,,3200000.0,841422.0,PG-13
The Judge,David Dobkin,"['Robert Downey Jr.', 'Robert Duvall', 'Vera Farmiga', ""Vincent D'Onofrio"", 'Jeremy Strong', 'Dax Shepard', 'Leighton Meester', 'Billy Bob Thornton']",Robert Downey Jr.,2014-09-04,9.0,142.0,United States,English,45000000.0,84400000.0,13116226.0,R
Coming In,Marco Kreuzpaintner,"['Kostja Ullmann', 'Aylin Tezel', 'Ken Duken', 'Katja Riemann']",Kostja Ullmann,2014-10-24,10.0,104.0,Germany,German,,,,
Interstellar,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Bill Irwin', 'Ellen Burstyn', 'Michael Caine']",Matthew McConaughey,2014-10-26,10.0,169.0,,English,165000000.0,701800000.0,47510360.0,PG-13
Horrible Bosses 2,Sean Anders,"['Jason Bateman', 'Charlie Day', 'Jason Sudeikis', 'Jennifer Aniston', 'Jamie Foxx', 'Chris Pine', 'Christoph Waltz']",Jason Bateman,2014-11-12,11.0,108.0,United States,English,42000000.0,107700000.0,28302165.0,R
Mortadelo and Filemon: Mission Implausible,Javier Fesser,"['Karra Elejalde', 'Janfri Topera', 'Ángel Chame', 'Mariano Venancio', 'Víctor Monigote', 'Emilio Gavira']",Karra Elejalde,2014-11-28,11.0,88.0,Spain,Spanish,12500000.0,,,
Get Santa,Christopher Smith,"['Jim Broadbent', 'Rafe Spall', 'Warwick Davis']",Jim Broadbent,2014-12-05,12.0,102.0,United Kingdom,English,,4800000.0,,PG
Inherent Vice,Paul Thomas Anderson,"['Joaquin Phoenix', 'Josh Brolin', 'Owen Wilson', 'Katherine Waterston', 'Reese Witherspoon', 'Benicio del Toro', 'Martin Short', 'Jena Malone', 'Joanna Newsom']",Joaquin Phoenix,2014-10-04,10.0,150.0,United States,English,20000000.0,14700000.0,328184.0,R
Head Full of Honey,Til Schweiger,"['Dieter Hallervorden', 'Emma Schweiger', 'Til Schweiger']",Dieter Hallervorden,2014-12-15,12.0,139.0,Germany,German,,,8715.0,PG-13
The Hobbit: The Battle of the Five Armies,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Benedict Cumberbatch', 'Ken Stott', 'James Nesbitt', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Orlando Bloom']",Ian McKellen,2014-12-01,12.0,144.0,,English,250000000.0,956000000.0,54724334.0,PG-13
American Sniper,Clint Eastwood,"['Bradley Cooper', 'Sienna Miller']",Bradley Cooper,2014-11-11,11.0,132.0,United States,English,59000000.0,547400000.0,633456.0,R
Jupiter Ascending,The Wachowskis,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']",Mila Kunis,2015-01-27,1.0,127.0,,English,176000000.0,183900000.0,18372372.0,PG-13
Traumfrauen,Anika Decker,"['Hannah Herzsprung', 'Karoline Herfurth']",Hannah Herzsprung,2015-02-19,2.0,109.0,Germany,German,,,,
Focus,"['Glenn Ficarra', 'John Requa']","['Will Smith', 'Margot Robbie', 'Rodrigo Santoro', 'Gerald McRaney']",Will Smith,2015-02-11,2.0,104.0,United States,English,50100000.0,158800000.0,18685137.0,R
Off Course,Nacho García Velilla,"['Yon González', 'Julián López', 'Blanca Suárez', 'José Sacristán', 'Miki Esparbé', 'Úrsula Corberó', 'Malena Alterio', 'Younes Bachir', 'Javier Cámara', 'Carmen Machi']",Yon González,2015-03-06,3.0,104.0,Spain,,,,,
Run All Night,Jaume Collet-Serra,"['Liam Neeson', 'Joel Kinnaman', ""Vincent D'Onofrio"", 'Bruce McGill', 'Genesis Rodriguez', 'Common', 'Ed Harris']",Liam Neeson,2015-03-09,3.0,114.0,United States,English,50000000.0,71600000.0,11012305.0,R
The Manny,Matthias Schweighöfer,"['Matthias Schweighöfer', 'Milan Peschel', 'Paula Hartmann', 'Arved Friese']",Matthias Schweighöfer,2015-03-26,3.0,,Germany,German,,,,
Get Hard,Etan Cohen,"['Will Ferrell', 'Kevin Hart', ""Tip 'T.I.' Harris"", 'Alison Brie', 'Craig T. Nelson']",Will Ferrell,2015-03-16,3.0,100.0,United States,English,,111800000.0,33803253.0,R
Ghosthunters: On Icy Trails,Tobi Baumann,"['Anke Engelke', 'Milo Parker']",Anke Engelke,2015-04-02,4.0,99.0,,,,,,
Lost River,Ryan Gosling,"['Christina Hendricks', 'Saoirse Ronan', 'Iain De Caestecker', 'Matt Smith', 'Eva Mendes', 'Ben Mendelsohn']",Christina Hendricks,2014-05-20,5.0,95.0,United States,English,,,20828.0,R
The Water Diviner,Russell Crowe,"['Russell Crowe', 'Olga Kurylenko', 'Yılmaz Erdoğan', 'Jacqueline McKenzie']",Russell Crowe,2014-12-26,12.0,111.0,,,22500000.0,38200000.0,1220335.0,R
Hot Pursuit,Anne Fletcher,"['Reese Witherspoon', 'Sofía Vergara', 'John Carroll Lynch', 'Robert Kazinsky']",Reese Witherspoon,2015-05-08,5.0,87.0,United States,English,35000000.0,51400000.0,13942258.0,PG-13
Nothing in Return,Daniel Guzmán,"['Miguel Herrán', 'Antonio Bachiller']",Miguel Herrán,2015-04-23,4.0,93.0,Spain,Spanish,,,,
Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Zoë Kravitz', 'Abbey Lee', 'Courtney Eaton']",Tom Hardy,2015-05-07,5.0,120.0,Australia,English,150000000.0,376100000.0,45428128.0,R
San Andreas,Brad Peyton,"['Dwayne Johnson', 'Carla Gugino', 'Alexandra Daddario', 'Ioan Gruffudd', 'Archie Panjabi', 'Paul Giamatti']",Dwayne Johnson,2015-05-27,5.0,114.0,United States,English,110000000.0,474000000.0,54588173.0,PG-13
Entourage,Doug Ellin,"['Kevin Connolly', 'Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara', 'Jeremy Piven', 'Billy Bob Thornton']",Kevin Connolly,2015-05-27,5.0,104.0,United States,English,27000000.0,49300000.0,10283250.0,R
Batkid Begins,Dana Nachman,"['Miles Scott', 'Eric Johnston', 'Or Oppenheimer', 'Ron Oppenheimer']",Miles Scott,2015-01-24,1.0,87.0,United States,English,,,19437.0,PG
Max,Boaz Yakin,"['Josh Wiggins', 'Lauren Graham', 'Thomas Haden Church']",Josh Wiggins,2015-06-26,6.0,111.0,United States,English,20000000.0,44000000.0,12155254.0,PG
Magic Mike XXL,Gregory Jacobs,"['Channing Tatum', 'Matt Bomer', 'Joe Manganiello', 'Kevin Nash', 'Adam Rodríguez', 'Gabriel Iglesias', 'Amber Heard', 'Donald Glover', 'Andie MacDowell', 'Elizabeth Banks', 'Jada Pinkett Smith']",Channing Tatum,2015-06-25,6.0,115.0,United States,English,14800000.0,122500000.0,12857184.0,R
The Gallows,"['Chris Lofing', 'Travis Cluff']","['Reese Mishler', 'Pfeifer Brown', 'Ryan Shoos', 'Cassidy Gifford']",Reese Mishler,2015-06-30,6.0,81.0,United States,English,,43000000.0,9808463.0,R
Vacation,"['Jonathan Goldstein', 'John Francis Daley']","['Ed Helms', 'Christina Applegate', 'Leslie Mann', ""Beverly D'Angelo"", 'Chris Hemsworth', 'Chevy Chase']",Ed Helms,2015-07-29,7.0,99.0,United States,English,31000000.0,107200000.0,14681108.0,R
The Man from U.N.C.L.E.,Guy Ritchie,"['Armie Hammer', 'Henry Cavill', 'Alicia Vikander', 'Elizabeth Debicki', 'Jared Harris', 'Hugh Grant']",Armie Hammer,2015-08-02,8.0,116.0,,English,75000000.0,107000000.0,13421036.0,PG-13
We Are Your Friends,Max Joseph,"['Zac Efron', 'Emily Ratajkowski', 'Shiloh Fernandez', 'Alex Shaffer', 'Jonny Weston', 'Wes Bentley']",Zac Efron,2015-08-11,8.0,96.0,,English,2000000.0,11100000.0,1767308.0,R
Spy Time,Javier Ruiz Caldera,"['Imanol Arias', 'Quim Gutiérrez']",Imanol Arias,2015-09-04,9.0,87.0,Spain,Spanish,2200000.0,3000000.0,,
Hidden,The Duffer Brothers,"['Alexander Skarsgård', 'Andrea Riseborough', 'Emily Alyn Lind']",Alexander Skarsgård,2015-09-15,9.0,83.0,United States,English,,,2492618.0,
Black Mass,Scott Cooper,"['Johnny Depp', 'Joel Edgerton', 'Benedict Cumberbatch', 'Rory Cochrane', 'Kevin Bacon', 'Jesse Plemons']",Johnny Depp,2015-09-04,9.0,123.0,United States,English,53000000.0,99800000.0,22635037.0,R
The Intern,Nancy Meyers,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo']",Robert De Niro,2015-09-15,9.0,121.0,United States,English,35000000.0,194600000.0,17728313.0,PG-13
Retribution,Dani de la Torre,"['Luis Tosar', 'Javier Gutiérrez', 'Goya Toledo', 'Elvira Mínguez', 'Fernando Cayo', 'Paula del Río', 'Marco Sanz', 'Luiz Zahera', 'Ricardo de Barreiro', 'María Mena', 'Antonio Mourelos']",Luis Tosar,2015-09-02,9.0,96.0,,Spanish,,,,
Pan,Joe Wright,"['Hugh Jackman', 'Garrett Hedlund', 'Rooney Mara', 'Levi Miller', 'Amanda Seyfried']",Hugh Jackman,2015-09-20,9.0,111.0,United States,English,150000000.0,128400000.0,15315435.0,PG
Top Cat Begins,Andrés Couturier,"['Raúl Anaya', 'Mauricio Pérez', 'Jesús Guzmán', 'Gerardo Alonso', 'Mario Filio', 'Octavio Rojas']",Raúl Anaya,2015-10-30,10.0,90.0,,,8000000.0,,,PG
Our Brand Is Crisis,David Gordon Green,"['Sandra Bullock', 'Billy Bob Thornton', 'Anthony Mackie', 'Joaquim de Almeida', 'Ann Dowd', 'Scoot McNairy', 'Zoe Kazan']",Sandra Bullock,2015-09-11,9.0,107.0,United States,English,28000000.0,8600000.0,3238433.0,R
The 33,Patricia Riggen,"['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche', 'James Brolin', 'Lou Diamond Phillips', 'Mario Casas', 'Adriana Barraza', 'Kate del Castillo', 'Cote de Pablo', 'Bob Gunton', 'Gabriel Byrne', 'Oscar Nunez']",Antonio Banderas,2015-08-06,8.0,127.0,,,26000000.0,28000000.0,5787266.0,PG-13
Creed,Ryan Coogler,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Anthony Bellew']",Michael B. Jordan,2015-11-19,11.0,133.0,United States,English,35000000.0,173600000.0,29632823.0,PG-13
In the Heart of the Sea,Ron Howard,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Tom Holland', 'Ben Whishaw', 'Brendan Gleeson']",Chris Hemsworth,2015-12-07,12.0,122.0,,,100000000.0,93900000.0,11053366.0,PG-13
I'm Off Then,Julia von Heinz,Devid Striesow,D,2015-12-24,12.0,92.0,Germany,German,,,,
Point Break,Ericson Core,"['Édgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone']",Édgar Ramírez,2015-12-01,12.0,114.0,,English,105000000.0,133699999.99999999,8514616.0,R
Palm Trees in the Snow,Fernando González Molina,"['Mario Casas', 'Berta Vázquez', 'Adriana Ugarte', 'Macarena García', 'Alain Hernández']",Mario Casas,2015-12-25,12.0,163.0,,,,18400000.0,,
How to Be Single,Christian Ditter,"['Dakota Johnson', 'Rebel Wilson', 'Damon Wayans Jr.', 'Anders Holm', 'Alison Brie', 'Nicholas Braun', 'Jake Lacy', 'Jason Mantzoukas', 'Leslie Mann']",Dakota Johnson,2016-02-09,2.0,110.0,United States,English,38000000.0,112300000.0,17878911.0,R
Midnight Special,Jeff Nichols,"['Michael Shannon', 'Joel Edgerton', 'Kirsten Dunst', 'Adam Driver', 'Jaeden Martell', 'Sam Shepard']",Michael Shannon,2016-02-12,2.0,112.0,United States,English,18000000.0,6700000.0,190012.0,PG-13
Batman v Superman: Dawn of Justice,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']",Ben Affleck,2016-03-19,3.0,152.0,United States,English,250000000.0,873600000.0,166007347.0,PG-13
Julieta,Pedro Almodóvar,"['Emma Suárez', 'Adriana Ugarte']",Emma Suárez,2016-04-08,4.0,96.0,Spain,Spanish,,22500000.0,64044.0,R
The Man Who Knew Infinity,Matthew Brown,"['Dev Patel', 'Jeremy Irons', 'Devika Bhise', 'Toby Jones', 'Stephen Fry', 'Jeremy Northam', 'Kevin McNally', 'Enzo Cilenti', 'Arundhati Nag', 'Dhritiman Chatterjee']",Dev Patel,2015-09-17,9.0,108.0,United Kingdom,English,10000000.0,12300000.0,80325.0,PG-13
Barbershop: The Next Cut,Malcolm D. Lee,"['Ice Cube', 'Cedric the Entertainer', 'Regina Hall', 'Anthony Anderson', 'Eve', 'J. B. Smoove', 'Lamorne Morris', 'Nicki Minaj', 'Tyga', 'Deon Cole', 'Common']",Ice Cube,2016-04-06,4.0,112.0,United States,English,20000000.0,55000000.0,20242415.0,PG-13
At the End of the Tunnel,Rodrigo Grande,"['Leonardo Sbaraglia', 'Pablo Echarri']",Leonardo Sbaraglia,2016-04-21,4.0,120.0,,Spanish,,,,
Keanu,Peter Atencio,"['Jordan Peele', 'Keegan-Michael Key', 'Tiffany Haddish', 'Method Man', 'Jason Mitchell', 'Luis Guzmán', 'Nia Long', 'Will Forte', 'Keanu Reeves']",Jordan Peele,2016-03-13,3.0,100.0,United States,English,15000000.0,20600000.0,9453224.0,R
Terra Formars,Takashi Miike,"['Hideaki Itō', 'Emi Takei', 'Tomohisa Yamashita', 'Takayuki Yamada', 'Shun Oguri']",Hideaki Itō,2016-04-29,4.0,110.0,Japan,Japanese,,5500000.0,,
The Nice Guys,Shane Black,"['Russell Crowe', 'Ryan Gosling', 'Angourie Rice', 'Matt Bomer', 'Margaret Qualley', 'Keith David', 'Kim Basinger']",Russell Crowe,2016-05-11,5.0,116.0,United States,English,50000000.0,62800000.0,11203270.0,R
Me Before You,Thea Sharrock,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance', 'Brendan Coyle']",Emilia Clarke,2016-05-23,5.0,110.0,,English,20000000.0,208300000.0,18723269.0,PG-13
The Conjuring 2,James Wan,"['Vera Farmiga', 'Patrick Wilson', ""Frances O'Connor"", 'Madison Wolfe', 'Simon McBurney', 'Franka Potente']",Vera Farmiga,2016-06-07,6.0,134.0,United States,English,40000000.0,321300000.0,40406314.0,R
Central Intelligence,Rawson Marshall Thurber,"['Kevin Hart', 'Dwayne Johnson', 'Amy Ryan', 'Aaron Paul', 'Danielle Nicolet']",Kevin Hart,2016-06-10,6.0,108.0,United States,English,50000000.0,217000000.0,35535250.0,PG-13
The Legend of Tarzan,David Yates,"['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz']",Alexander Skarsgård,2016-06-27,6.0,110.0,,English,180000000.0,356700000.0,38527856.0,PG-13
Lights Out,David F. Sandberg,"['Teresa Palmer', 'Gabriel Bateman', 'Billy Burke', 'Maria Bello']",Teresa Palmer,2016-06-08,6.0,81.0,United States,English,4900000.0,148900000.0,21688103.0,PG-13
Suicide Squad,David Ayer,"['Will Smith', 'Jared Leto', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jai Courtney', 'Jay Hernandez', 'Adewale Akinnuoye-Agbaje', 'Ike Barinholtz', 'Scott Eastwood', 'Cara Delevingne']",Will Smith,2016-08-01,8.0,123.0,United States,English,175000000.0,746800000.0,133682248.0,PG-13
War Dogs,Todd Phillips,"['Jonah Hill', 'Miles Teller', 'Ana de Armas', 'Bradley Cooper']",Jonah Hill,2016-08-03,8.0,114.0,United States,English,50000000.0,86200000.0,14685305.0,R
The Age of Shadows,Kim Jee-woon,"['Song Kang-ho', 'Gong Yoo', 'Han Ji-min', 'Uhm Tae-goo', 'Shin Sung-rok']",Song Kang-ho,2016-09-03,9.0,140.0,South Korea,,8620000.0,55300000.0,165685.0,
Sully,Clint Eastwood,"['Tom Hanks', 'Aaron Eckhart', 'Laura Linney']",Tom Hanks,2016-09-02,9.0,96.0,United States,English,60000000.0,240800000.0,35028301.0,PG-13
SMS für Dich,Karoline Herfurth,"['Karoline Herfurth', 'Friedrich Mücke']",Karoline Herfurth,2016-09-15,9.0,107.0,Germany,German,,,,
Storks,"['Nicholas Stoller', 'Doug Sweetland']","['Andy Samberg', 'Katie Crown', 'Kelsey Grammer', 'Jennifer Aniston', 'Ty Burrell', 'Keegan-Michael Key', 'Jordan Peele', 'Danny Trejo']",Andy Samberg,2016-09-17,9.0,87.0,United States,English,70000000.0,183400000.0,21311407.0,PG
The Girl with All the Gifts,Colm McCarthy,"['Gemma Arterton', 'Paddy Considine', 'Glenn Close', 'Sennia Nanua']",Gemma Arterton,2016-08-03,8.0,111.0,United Kingdom,English,,4080000.0,,R
The Accountant,Gavin O'Connor,"['Ben Affleck', 'Anna Kendrick', 'J. K. Simmons', 'Jon Bernthal', 'Jeffrey Tambor', 'John Lithgow']",Ben Affleck,2016-10-10,10.0,128.0,United States,English,44000000.0,155200000.0,24710273.0,R
May God Save Us,,"['Antonio de la Torre', 'Roberto Álamo']",Antonio de la Torre,2016-09-18,9.0,125.0,Spain,Spanish,,,,
Museum,Keishi Ōtomo,"['Shun Oguri', 'Machiko Ono', 'Shūhei Nomura', 'Tomomi Maruyama', 'Tomoko Tabata', 'Mikako Ichikawa', 'Masatō Ibu', 'Yutaka Matsushige', 'Nao Ōmori', 'Satoshi Tsumabuki']",Shun Oguri,2016-11-12,11.0,132.0,Japan,Japanese,,,30433781.0,PG
Fantastic Beasts and Where to Find Them,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Alison Sudol', 'Ezra Miller', 'Samantha Morton', 'Jon Voight', 'Carmen Ejogo', 'Ron Perlman', 'Colin Farrell']",Eddie Redmayne,2016-11-10,11.0,133.0,,English,175000000.0,814000000.0,74403387.0,PG-13
Villaviciosa de al lado,Nacho G. Velilla,"['Carmen Machi', 'Arturo Valls', 'Belén Cuesta', 'Macarena García', 'Leo Harlem', 'Jon Plazaola', 'Yolanda Ramos', 'Carmen Ruiz', 'Carlos Santos', 'Salva Reina', 'Goizalde Núñez', 'Antonio Pagudo']",Carmen Machi,2016-12-02,12.0,,Spain,Spanish,,,,
Monster Strike The Movie,Shinpei Ezaki,,,2016-12-10,12.0,103.0,Japan,Japanese,,,,
Collateral Beauty,David Frankel,"['Will Smith', 'Edward Norton', 'Keira Knightley', 'Michael Peña', 'Naomie Harris', 'Jacob Latimore', 'Kate Winslet', 'Helen Mirren']",Will Smith,2016-12-13,12.0,97.0,United States,English,36000000.0,88500000.0,7102085.0,PG-13
Live by Night,Ben Affleck,"['Ben Affleck', 'Elle Fanning', 'Brendan Gleeson', 'Chris Messina', 'Sienna Miller', 'Zoe Saldana', 'Chris Cooper']",Ben Affleck,2016-12-13,12.0,129.0,United States,English,90000000.0,22700000.0,33336.0,R
Vier gegen die Bank,Wolfgang Petersen,"['Til Schweiger', 'Matthias Schweighöfer', 'Michael Herbig', 'Jan Josef Liefers']",Til Schweiger,2016-12-25,12.0,96.0,Germany,German,,9193243.0,,
The Invisible Guest,Oriol Paulo and Dhar Mann,"['Mario Casas', 'Ana Wagener', 'José Coronado', 'Bárbara Lennie']",Mario Casas,2016-09-23,9.0,106.0,Spain,Spanish,,30500000.0,,
The Lego Batman Movie,Chris McKay,"['Will Arnett', 'Zach Galifianakis', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']",Will Arnett,2017-01-29,1.0,104.0,,English,80000000.0,312000000.0,53003468.0,PG
Fist Fight,Richie Keen,"['Ice Cube', 'Charlie Day', 'Tracy Morgan', 'Jillian Bell', 'Dean Norris', 'Christina Hendricks', 'Kumail Nanjiani', 'Dennis Haysbert']",Ice Cube,2017-02-13,2.0,90.0,United States,English,22000000.0,41100000.0,12201873.0,R
A Single Rider,Lee Joo-young,"['Lee Byung-hun', 'Gong Hyo-jin', 'Ahn So-hee']",Lee Byung-hun,2017-02-22,2.0,97.0,South Korea,,,,,
Kong: Skull Island,Jordan Vogt-Roberts,"['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman', 'Brie Larson', 'Jing Tian', 'Toby Kebbell', 'John Ortiz', 'Corey Hawkins', 'Jason Mitchell', 'Shea Whigham', 'Thomas Mann', 'Terry Notary', 'John C. Reilly']",Tom Hiddleston,2017-02-28,2.0,118.0,United States,English,185000000.0,566700000.0,61025472.0,PG-13
Chips,Dax Shepard,"['Dax Shepard', 'Michael Peña', 'Rosa Salazar', 'Adam Brody', ""Vincent D'Onofrio""]",Dax Shepard,2017-03-20,3.0,101.0,United States,English,25000000.0,26800000.0,10123605.0,PG-13
Going in Style,Zach Braff,"['Morgan Freeman', 'Michael Caine', 'Alan Arkin', 'Ann-Margret', 'Joey King', 'Matt Dillon', 'Christopher Lloyd']",Morgan Freeman,2017-03-30,3.0,96.0,United States,English,25000000.0,84900000.0,11932330.0,PG-13
Wolves at the Door,John R. Leonetti,"['Katie Cassidy', 'Elizabeth Henstridge', 'Adam Campbell', 'Miles Fisher']",Katie Cassidy,2016-10-21,10.0,72.0,United States,English,,4382.0,,
Unforgettable,Denise Di Novi,"['Rosario Dawson', 'Katherine Heigl', 'Geoff Stults']",Rosario Dawson,2017-04-21,4.0,100.0,United States,English,12000000.0,17800000.0,4785431.0,R
Blade of the Immortal,Takashi Miike,Takuya Kimura,T,2017-04-29,4.0,141.0,,Japanese,,8400000.0,49569.0,R
Max 2: White House Hero,Brian Levant,"['Zane Austin', 'Francesca Capaldi', 'Lochlyn Munro', 'Andrew Kavadas']",Zane Austin,2017-05-05,5.0,85.0,United States,English,,,,PG
King Arthur: Legend of the Sword,Guy Ritchie,"['Charlie Hunnam', 'Àstrid Bergès-Frisbey', 'Djimon Hounsou', 'Aidan Gillen', 'Jude Law', 'Eric Bana']",Charlie Hunnam,2017-05-08,5.0,126.0,,English,175000000.0,148700000.0,15371270.0,PG-13
"Everything, Everything",Stella Meghie,"['Amandla Stenberg', 'Nick Robinson']",Amandla Stenberg,2017-05-19,5.0,96.0,United States,English,10000000.0,61600000.0,11727390.0,PG-13
Wonder Woman,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Robin Wright', 'Danny Huston', 'David Thewlis', 'Connie Nielsen', 'Elena Anaya']",Gal Gadot,2017-05-15,5.0,141.0,United States,English,120000000.0,822300000.0,103251471.0,PG-13
Memoirs of a Murderer,Yū Irie,"['Tatsuya Fujiwara', 'Hideaki Itō']",Tatsuya Fujiwara,2017-06-10,6.0,118.0,Japan,Japanese,,20210000.0,,
The House,Andrew Jay Cohen,"['Will Ferrell', 'Amy Poehler', 'Jason Mantzoukas', 'Nick Kroll', 'Allison Tolman', 'Michaela Watkins', 'Jeremy Renner']",Will Ferrell,2017-06-30,6.0,88.0,United States,English,40000000.0,34200000.0,8724795.0,R
Gintama,Yūichi Fukuda,"['Shun Oguri', 'Masaki Suda', 'Kanna Hashimoto', 'Yūya Yagira', 'Ryo Yoshizawa', 'Masami Nagasawa', 'Masaki Okada', 'Nakamura Kankurō VI', 'Tsuyoshi \nDōmoto']",Shun Oguri,2017-07-14,7.0,131.0,Japan,Japanese,,47500000.0,,
Dunkirk,Christopher Nolan,"['Fionn Whitehead', 'Tom Glynn-Carney', 'Jack Lowden', 'Harry Styles', 'Aneurin Barnard', ""James D'Arcy"", 'Barry Keoghan', 'Kenneth Branagh', 'Cillian Murphy', 'Mark Rylance', 'Tom Hardy']",Fionn Whitehead,2017-07-13,7.0,106.0,,English,100000000.0,526900000.0,50513488.0,PG-13
JoJo's Bizarre Adventure: Diamond Is Unbreakable Chapter I,Takashi Miike,"['Kento Yamazaki', 'Ryunosuke Kamiki', 'Nana Komatsu', 'Masaki Okada', 'Mackenyu', 'Takayuki Yamada', 'Yusuke Iseya']",Kento Yamazaki,2017-07-02,7.0,119.0,Japan,Japanese,,2100000.0,,
Annabelle: Creation,David F. Sandberg,"['Stephanie Sigman', 'Lulu Wilson', 'Talitha Bateman', 'Anthony LaPaglia', 'Miranda Otto']",Stephanie Sigman,2017-06-19,6.0,110.0,United States,English,15000000.0,306500000.0,35006404.0,R
Monster Family,Holger Tappe,"['Emily Watson', 'Nick Frost', 'Jessica Brown Findlay', 'Celia Imrie', 'Catherine Tate', 'Jason Isaacs']",Emily Watson,2017-08-24,8.0,96.0,,English,30000000.0,26400000.0,576.0,PG
It,Andy Muschietti,"['Jaeden Lieberher', 'Bill Skarsgård']",Jaeden Lieberher,2017-09-05,9.0,135.0,United States,English,35000000.0,701800000.0,123403419.0,R
The Lego Ninjago Movie,"['Charlie Bean', 'Paul Fisher', 'Bob Logan']","['Dave Franco', 'Justin Theroux', 'Fred Armisen', 'Abbi Jacobson', 'Olivia Munn', 'Kumail Nanjiani', 'Michael Peña', 'Zach Woods', 'Jackie Chan']",Dave Franco,2017-09-16,9.0,101.0,,English,70000000.0,123100000.0,20433071.0,PG
Blade Runner 2049,Denis Villeneuve,"['Ryan Gosling', 'Harrison Ford', 'Ana de Armas', 'Sylvia Hoeks', 'Robin Wright', 'Mackenzie Davis', 'Carla Juri', 'Lennie James', 'Dave Bautista', 'Jared Leto']",Ryan Gosling,2017-10-03,10.0,163.0,United States,,150000000.0,260500000.0,32753122.0,R
Toc Toc,Vicente Villanueva,"['Paco León', 'Alexandra Jiménez', 'Rossy de Palma', 'Oscar Martínez', 'Nuria Herrero', 'Adrián Lastra']",Paco León,2017-10-06,10.0,90.0,Spain,Spanish,,7200000.0,,
